State;T-100 - Spec Value (Temperature);T-100 - Spec Value (Reflux Ratio);Dist - Master Comp Mole Frac (CO2);Dist - Master Comp Mole Frac (Methane);Dist - Master Comp Mole Frac (Nitrogen);Dist - Master Comp Mole Frac (Oxygen);Q_Reb - Power;Q_Cond - Power;Dist - Molar Flow;Bott - Master Comp Mole Frac (CO2);Bott - Master Comp Mole Frac (Methane);Bott - Master Comp Mole Frac (Nitrogen);Bott - Master Comp Mole Frac (Oxygen);CO2 Freeze Out-Dist - Freezing Temperature;Dist - Temperature;Freeze
;;;;;;;;;;;;;;;;
;C;;;;;;kW;kW;kgmole/h;;;;;C;C;
Case 1;-55;2.45;0.174;0.7743;0.0258;0.0258;247.2;296.7;38.74;1;0;0;0;-60.11;-55;0
Case 2;-56;2.45;0.1682;0.7798;0.026;0.026;244;294.2;38.47;1;0;0;0;-60.69;-56.02;0
Case 3;-57;2.45;0.1626;0.785;0.0262;0.0262;240.4;291.6;38.21;1;0;0;0;-61.26;-57.02;0
Case 4;-58;2.45;0.1574;0.79;0.0263;0.0263;237.5;289.6;37.98;1;0;0;0;-65.45;-57.99;0
Case 5;-59;2.45;0.1521;0.7949;0.0265;0.0265;233.9;286.8;37.74;1;0;0;0;-62.39;-58.99;0
Case 6;-60;2.45;0.147;0.7997;0.0267;0.0267;229.4;283.3;37.51;1;0;0;0;-62.97;-60;0
Case 7;-61;2.45;0.142;0.8043;0.0268;0.0268;224.8;279.6;37.3;1;0;0;0;-63.56;-60.99;0
Case 8;-62;2.45;0.1373;0.8088;0.027;0.027;219.3;275.1;37.09;1;0;0;0;-64.14;-61.99;0
Case 9;-63;2.45;0.1326;0.8132;0.0271;0.0271;212.9;269.7;36.89;1;0;0;0;-64.73;-62.99;0
Case 10;-64;2.45;0.1281;0.8174;0.0272;0.0272;205.4;263.1;36.7;1;0;0;0;-65.32;-63.99;0
Case 11;-65;2.45;0.1237;0.8215;0.0274;0.0274;195.8;254.5;36.52;1;0;0;0;-65.92;-64.98;0
Case 12;-66;2.45;0.1194;0.8256;0.0275;0.0275;182.8;242.5;36.34;1;0;0;0;-66.54;-65.98;0
Case 13;-67;2.45;0.115;0.8296;0.0277;0.0277;165;225.8;36.16;1;0;0;0;-67.31;-66.98;0
Case 14;-68;2.45;0.1106;0.8338;0.0278;0.0278;142.3;204.1;35.98;1;0;0;0;-67.86;-67.99;1
Case 15;-69;2.45;0.1059;0.8382;0.0279;0.0279;119.2;182.1;35.79;1;0;0;0;-68.36;-68.99;1
Case 16;-70;2.45;0.101;0.8428;0.0281;0.0281;98.79;162.9;35.59;1;0;0;0;-69.47;-70;1
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
